"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"PLM00012424","STRACHOWICE, PL","2018-03-17","0.34","3.5","24","29",
"PLM00012424","STRACHOWICE, PL","2018-03-18","0.00","3.9","22","29",
"PLM00012424","STRACHOWICE, PL","2018-03-19","0.00","3.5","24","31",
"PLM00012424","STRACHOWICE, PL","2018-03-20","0.00","3.1","29","40",
"PLM00012424","STRACHOWICE, PL","2018-03-21","0.00",,"32","40",
"PLM00012424","STRACHOWICE, PL","2018-03-22","0.00",,"35","43","27"
"PLM00012424","STRACHOWICE, PL","2018-03-23","0.00",,"36","40",
"PLM00012424","STRACHOWICE, PL","2018-03-24","0.04",,"37","47",
"PLM00012424","STRACHOWICE, PL","2018-03-25","0.00",,"38","50","27"
"PLM00012424","STRACHOWICE, PL","2018-03-26","0.00",,"39","46","27"
"PLM00012424","STRACHOWICE, PL","2018-03-27","0.00",,"37","45",
"PLM00012424","STRACHOWICE, PL","2018-03-28","0.01",,"38","47","28"
"PLM00012424","STRACHOWICE, PL","2018-03-29","0.06",,"44","49",
"PLM00012424","STRACHOWICE, PL","2018-03-30","0.00",,"46","56","31"
"PLM00012424","STRACHOWICE, PL","2018-03-31","0.24",,"47","53",
"PLM00012424","STRACHOWICE, PL","2018-04-01","0.02",,"37","47",
"PLM00012424","STRACHOWICE, PL","2018-04-02","0.01",,"41","51",
"PLM00012424","STRACHOWICE, PL","2018-04-03","0.00",,"50",,
"PLM00012424","STRACHOWICE, PL","2018-04-04","0.00",,"58","71",
"PLM00012424","STRACHOWICE, PL","2018-04-05","0.01",,"54","65",
"PLM00012424","STRACHOWICE, PL","2018-04-06","0.05",,"44","54",
"PLM00012424","STRACHOWICE, PL","2018-04-07","0.00",,"49","66","30"
"PLM00012424","STRACHOWICE, PL","2018-04-08","0.16",,"55","71","39"
"PLM00012424","STRACHOWICE, PL","2018-04-09","0.00",,"57","75","36"
"PLM00012424","STRACHOWICE, PL","2018-04-10","0.00",,"60","72","48"
"PLM00012424","STRACHOWICE, PL","2018-04-11","0.01",,"56","71",
"PLM00012424","STRACHOWICE, PL","2018-04-12","0.00",,"62","77",
"PLM00012424","STRACHOWICE, PL","2018-04-13","0.00",,"60","69",
"PLM00012424","STRACHOWICE, PL","2018-04-14","0.00",,"58","69",
"PLM00012424","STRACHOWICE, PL","2018-04-15","0.00",,"60","75","44"
"PLM00012424","STRACHOWICE, PL","2018-04-16","0.17",,"59","67",
"PLM00012424","STRACHOWICE, PL","2018-04-17","0.20",,"55","63",
"PLM00012424","STRACHOWICE, PL","2018-04-18","0.00",,"56","71","40"
"PLM00012424","STRACHOWICE, PL","2018-04-19","0.00",,"61","76","44"
"PLM00012424","STRACHOWICE, PL","2018-04-20","0.00",,"61","74","46"
"PLM00012424","STRACHOWICE, PL","2018-04-21","0.00",,"63","79","45"
"PLM00012424","STRACHOWICE, PL","2018-04-22","0.00",,"57","72",
"PLM00012424","STRACHOWICE, PL","2018-04-23","0.09",,"60","76",
"PLM00012424","STRACHOWICE, PL","2018-04-24","0.31",,"59","68","48"
"PLM00012424","STRACHOWICE, PL","2018-04-25","0.00",,"60","74",
"PLM00012424","STRACHOWICE, PL","2018-04-26","0.06",,"52","60",
"PLM00012424","STRACHOWICE, PL","2018-04-27","0.03",,"52","63",
"PLM00012424","STRACHOWICE, PL","2018-04-28","0.00",,"61","76",
"PLM00012424","STRACHOWICE, PL","2018-04-29","0.00",,"66","81","48"
"PLM00012424","STRACHOWICE, PL","2018-04-30","0.00",,"67","81",
"PLM00012424","STRACHOWICE, PL","2018-05-01","0.12",,"57","69",
"PLM00012424","STRACHOWICE, PL","2018-05-02","0.00",,"60","71",
"PLM00012424","STRACHOWICE, PL","2018-05-03","0.00",,"62","77",
"PLM00012424","STRACHOWICE, PL","2018-05-04","0.00",,"56","67",
"PLM00012424","STRACHOWICE, PL","2018-05-05","0.00",,"54","66",
"PLM00012424","STRACHOWICE, PL","2018-05-06","0.00",,"56","70",
"PLM00012424","STRACHOWICE, PL","2018-05-07","0.00",,"60","74",
"PLM00012424","STRACHOWICE, PL","2018-05-08","0.00",,"63","77",
"PLM00012424","STRACHOWICE, PL","2018-05-09","0.08",,"64",,"54"
"PLM00012424","STRACHOWICE, PL","2018-05-10","0.00",,"66","79","55"
"PLM00012424","STRACHOWICE, PL","2018-05-11","0.12",,"61","69",
"PLM00012424","STRACHOWICE, PL","2018-05-12","0.00",,"62","77","52"
"PLM00012424","STRACHOWICE, PL","2018-05-13","0.00",,"66","78",
"PLM00012424","STRACHOWICE, PL","2018-05-14","0.00",,"63","74",
"PLM00012424","STRACHOWICE, PL","2018-05-15","0.00",,"57","68",
"PLM00012424","STRACHOWICE, PL","2018-05-16","0.02",,"58",,
"PLM00012424","STRACHOWICE, PL","2018-05-17","1.16",,"57","62","55"
"PLM00012424","STRACHOWICE, PL","2018-05-18","0.07",,"57","65",
"PLM00012424","STRACHOWICE, PL","2018-05-19","0.00",,"57","69",
"PLM00012424","STRACHOWICE, PL","2018-05-20","0.00",,"58","71",
"PLM00012424","STRACHOWICE, PL","2018-05-21","0.00",,"60",,
"PLM00012424","STRACHOWICE, PL","2018-05-22","0.00",,"62",,
"PLM00012424","STRACHOWICE, PL","2018-05-23","0.08",,"66","78",
"PLM00012424","STRACHOWICE, PL","2018-05-24","0.00",,"66","76",
"PLM00012424","STRACHOWICE, PL","2018-05-25","0.00",,"65","76",
"PLM00012424","STRACHOWICE, PL","2018-05-26","0.00",,"66","81",
"PLM00012424","STRACHOWICE, PL","2018-05-27","0.00",,"71","84",
"PLM00012424","STRACHOWICE, PL","2018-05-28","0.00",,"74","86",
"PLM00012424","STRACHOWICE, PL","2018-05-29","0.01",,"71","87",
"PLM00012424","STRACHOWICE, PL","2018-05-30","0.00",,"71","86",
"PLM00012424","STRACHOWICE, PL","2018-05-31","0.00",,"74","87",
"PLM00012424","STRACHOWICE, PL","2018-06-01","0.00",,"74","89",
"PLM00012424","STRACHOWICE, PL","2018-06-02","0.00",,"71","83",
"PLM00012424","STRACHOWICE, PL","2018-06-03","0.00",,"68","77",
"PLM00012424","STRACHOWICE, PL","2018-06-04","0.00",,"71",,
"PLM00012424","STRACHOWICE, PL","2018-06-05","0.04",,"70","80",
"PLM00012424","STRACHOWICE, PL","2018-06-06","0.00",,"62","75",
"PLM00012424","STRACHOWICE, PL","2018-06-07","0.00",,"65","80",
"PLM00012424","STRACHOWICE, PL","2018-06-08","0.00",,"72","87",
"PLM00012424","STRACHOWICE, PL","2018-06-09","0.00",,"74","87",
"PLM00012424","STRACHOWICE, PL","2018-06-10","0.00",,"73","87",
"PLM00012424","STRACHOWICE, PL","2018-06-11","0.00",,"70","78",
"PLM00012424","STRACHOWICE, PL","2018-06-12","0.33",,"67","76",
"PLM00012424","STRACHOWICE, PL","2018-06-13","0.03",,"61","74",
"PLM00012424","STRACHOWICE, PL","2018-06-14","0.01",,"60","70",
"PLM00012424","STRACHOWICE, PL","2018-06-15","0.00",,"65","78",
"PLM00012424","STRACHOWICE, PL","2018-06-16","0.00",,"68","82",
"PLM00012424","STRACHOWICE, PL","2018-06-17","0.00",,"72","85",
"PLM00012424","STRACHOWICE, PL","2018-06-18","0.00",,"69","80",
"PLM00012424","STRACHOWICE, PL","2018-06-19","0.00",,"70",,
"PLM00012424","STRACHOWICE, PL","2018-06-20","0.00",,"74","84",
"PLM00012424","STRACHOWICE, PL","2018-06-21","0.20",,"70","91",
"PLM00012424","STRACHOWICE, PL","2018-06-22","0.00",,"54","63",
"PLM00012424","STRACHOWICE, PL","2018-06-23","0.00",,"56",,"48"
"PLM00012424","STRACHOWICE, PL","2018-06-24","0.00",,"57","65",
"PLM00012424","STRACHOWICE, PL","2018-06-25","0.26",,"60","71","48"
"PLM00012424","STRACHOWICE, PL","2018-06-26","0.02",,"58","70",
"PLM00012424","STRACHOWICE, PL","2018-06-27","1.11",,"63","75","52"
"PLM00012424","STRACHOWICE, PL","2018-06-28","0.00",,"66","74",
"PLM00012424","STRACHOWICE, PL","2018-06-29","0.07",,"72","85",
"PLM00012424","STRACHOWICE, PL","2018-06-30","0.00",,"59","79",
"PLM00012424","STRACHOWICE, PL","2018-07-01","0.04",,"57","67",
"PLM00012424","STRACHOWICE, PL","2018-07-02","0.00",,"59","70",
"PLM00012424","STRACHOWICE, PL","2018-07-03","0.00",,"67","80",
"PLM00012424","STRACHOWICE, PL","2018-07-04","0.00",,"71","86",
"PLM00012424","STRACHOWICE, PL","2018-07-05","0.00",,"75","89",
"PLM00012424","STRACHOWICE, PL","2018-07-06","0.00",,"69","84",
"PLM00012424","STRACHOWICE, PL","2018-07-07","0.00",,"68","79",
"PLM00012424","STRACHOWICE, PL","2018-07-08","0.00",,"68","79","57"
"PLM00012424","STRACHOWICE, PL","2018-07-09","0.00",,"71",,
"PLM00012424","STRACHOWICE, PL","2018-07-10","0.00",,"61","79",
"PLM00012424","STRACHOWICE, PL","2018-07-11","0.63",,"62","74",
"PLM00012424","STRACHOWICE, PL","2018-07-12","0.50",,"61","71",
"PLM00012424","STRACHOWICE, PL","2018-07-13","0.35",,"65","79","53"
"PLM00012424","STRACHOWICE, PL","2018-07-14","0.02",,"68","80",
"PLM00012424","STRACHOWICE, PL","2018-07-15","0.02",,"68","81",
"PLM00012424","STRACHOWICE, PL","2018-07-16","0.00",,"71","83",
"PLM00012424","STRACHOWICE, PL","2018-07-17","0.20",,"65","78",
"PLM00012424","STRACHOWICE, PL","2018-07-18","0.44",,"65","67",
"PLM00012424","STRACHOWICE, PL","2018-07-19","0.57",,"65","67",
"PLM00012424","STRACHOWICE, PL","2018-07-20","0.03",,"69","80",
"PLM00012424","STRACHOWICE, PL","2018-07-21","0.00",,"70","84",
"PLM00012424","STRACHOWICE, PL","2018-07-22","0.00",,"69","82",
"PLM00012424","STRACHOWICE, PL","2018-07-23","0.00",,"71","84",
"PLM00012424","STRACHOWICE, PL","2018-07-24","0.00",,"71","83",
"PLM00012424","STRACHOWICE, PL","2018-07-25","0.00",,"73","83",
"PLM00012424","STRACHOWICE, PL","2018-07-26","0.02",,"73","85",
"PLM00012424","STRACHOWICE, PL","2018-07-27","0.43",,"69","83",
"PLM00012424","STRACHOWICE, PL","2018-07-28","0.00",,"74","87",
"PLM00012424","STRACHOWICE, PL","2018-07-29","0.00",,"74","85",
"PLM00012424","STRACHOWICE, PL","2018-07-30","0.00",,"75","88",
"PLM00012424","STRACHOWICE, PL","2018-07-31","0.00",,"77","92",
"PLM00012424","STRACHOWICE, PL","2018-08-01","0.00",,"79","92","66"
"PLM00012424","STRACHOWICE, PL","2018-08-02","0.00",,"80","93",
"PLM00012424","STRACHOWICE, PL","2018-08-03","0.00",,"79","91",
"PLM00012424","STRACHOWICE, PL","2018-08-04","0.00",,"77",,
"PLM00012424","STRACHOWICE, PL","2018-08-05","0.00",,"73","85",
"PLM00012424","STRACHOWICE, PL","2018-08-06","0.00",,"70",,
"PLM00012424","STRACHOWICE, PL","2018-08-07","0.00",,"75",,
"PLM00012424","STRACHOWICE, PL","2018-08-08","0.00",,"78","91",
"PLM00012424","STRACHOWICE, PL","2018-08-09","0.01",,"79",,
"PLM00012424","STRACHOWICE, PL","2018-08-10","0.08",,"70","84",
"PLM00012424","STRACHOWICE, PL","2018-08-11","0.00",,"67","83",
"PLM00012424","STRACHOWICE, PL","2018-08-12","0.00",,"66","81",
"PLM00012424","STRACHOWICE, PL","2018-08-13","0.00",,"75","92","53"
"PLM00012424","STRACHOWICE, PL","2018-08-14","0.08",,"70","83",
"PLM00012424","STRACHOWICE, PL","2018-08-15","0.00",,"68","78",
"PLM00012424","STRACHOWICE, PL","2018-08-16","0.00",,"69",,
"PLM00012424","STRACHOWICE, PL","2018-08-17","0.00",,"73","87",
"PLM00012424","STRACHOWICE, PL","2018-08-18","0.00",,"71",,
"PLM00012424","STRACHOWICE, PL","2018-08-19","0.00",,"73",,
"PLM00012424","STRACHOWICE, PL","2018-08-20","0.00",,"76","89",
"PLM00012424","STRACHOWICE, PL","2018-08-21","0.00",,"67","79",
"PLM00012424","STRACHOWICE, PL","2018-08-22","0.00",,"70",,
"PLM00012424","STRACHOWICE, PL","2018-08-23","0.00",,"77",,
"PLM00012424","STRACHOWICE, PL","2018-08-24","0.12",,"70","86","62"
"PLM00012424","STRACHOWICE, PL","2018-08-25","0.30",,"63","72","59"
"PLM00012424","STRACHOWICE, PL","2018-08-26","0.00",,"58","68",
"PLM00012424","STRACHOWICE, PL","2018-08-27","0.00",,"61","76","42"
"PLM00012424","STRACHOWICE, PL","2018-08-28","0.00",,"63","73",
"PLM00012424","STRACHOWICE, PL","2018-08-29","0.00",,"63","79","46"
"PLM00012424","STRACHOWICE, PL","2018-08-30","0.20",,"65",,"55"
"PLM00012424","STRACHOWICE, PL","2018-08-31","0.00",,"64",,"56"
"PLM00012424","STRACHOWICE, PL","2018-09-01","0.00",,"62","69",
"PLM00012424","STRACHOWICE, PL","2018-09-02","0.91",,"66","79",
"PLM00012424","STRACHOWICE, PL","2018-09-03","0.00",,"71","81",
"PLM00012424","STRACHOWICE, PL","2018-09-04","0.00",,"67","80",
"PLM00012424","STRACHOWICE, PL","2018-09-05","0.00",,"64","77",
"PLM00012424","STRACHOWICE, PL","2018-09-06","0.00",,"64","77","51"
"PLM00012424","STRACHOWICE, PL","2018-09-07","0.00",,"66","80","52"
"PLM00012424","STRACHOWICE, PL","2018-09-08","0.02",,"64",,
"PLM00012424","STRACHOWICE, PL","2018-09-09","0.00",,"62","77",
"PLM00012424","STRACHOWICE, PL","2018-09-10","0.00",,"64","80","47"
"PLM00012424","STRACHOWICE, PL","2018-09-11","0.01",,"67","79","59"
"PLM00012424","STRACHOWICE, PL","2018-09-12","0.00",,"71","88",
"PLM00012424","STRACHOWICE, PL","2018-09-13","0.04",,"64","73",
"PLM00012424","STRACHOWICE, PL","2018-09-14","0.19",,"58","65",
"PLM00012424","STRACHOWICE, PL","2018-09-15","0.01",,"62","71","55"
"PLM00012424","STRACHOWICE, PL","2018-09-16","0.00",,"60","72",
"PLM00012424","STRACHOWICE, PL","2018-09-17",,,"59",,
"PLM00012424","STRACHOWICE, PL","2018-09-18",,,"76","84","58"
"PLM00012424","STRACHOWICE, PL","2018-09-19","0.00",,"70","86",
"PLM00012424","STRACHOWICE, PL","2018-09-20","0.00",,"71","88","55"
"PLM00012424","STRACHOWICE, PL","2018-09-21","0.00",,"70","85",
"PLM00012424","STRACHOWICE, PL","2018-09-22","0.06",,"57","77","53"
"PLM00012424","STRACHOWICE, PL","2018-09-23","0.00",,"56","62",
"PLM00012424","STRACHOWICE, PL","2018-09-24","0.48",,"48","58",
"PLM00012424","STRACHOWICE, PL","2018-09-25","0.06",,"46",,
"PLM00012424","STRACHOWICE, PL","2018-09-26","0.00",,"50","61","33"
"PLM00012424","STRACHOWICE, PL","2018-09-27","0.00",,"60","69",
"PLM00012424","STRACHOWICE, PL","2018-09-28","0.00",,"54","67",
"PLM00012424","STRACHOWICE, PL","2018-09-29","0.00",,"45","58",
"PLM00012424","STRACHOWICE, PL","2018-09-30","0.00",,"48","64",
"PLM00012424","STRACHOWICE, PL","2018-10-01","0.00",,"49","64","35"
"PLM00012424","STRACHOWICE, PL","2018-10-02","0.00",,"49","55",
"PLM00012424","STRACHOWICE, PL","2018-10-03","0.03",,"50","58",
"PLM00012424","STRACHOWICE, PL","2018-10-04","0.05",,"50",,
"PLM00012424","STRACHOWICE, PL","2018-10-05","0.00",,"53","68",
"PLM00012424","STRACHOWICE, PL","2018-10-06","0.00",,"59",,
"PLM00012424","STRACHOWICE, PL","2018-10-07","0.00",,"56","72",
"PLM00012424","STRACHOWICE, PL","2018-10-08","0.00",,"50","60",
"PLM00012424","STRACHOWICE, PL","2018-10-09","0.00",,"53",,"37"
"PLM00012424","STRACHOWICE, PL","2018-10-10","0.00",,"57","74",
"PLM00012424","STRACHOWICE, PL","2018-10-11","0.00",,"59",,"48"
"PLM00012424","STRACHOWICE, PL","2018-10-12","0.00",,"59","77","42"
"PLM00012424","STRACHOWICE, PL","2018-10-13","0.00",,"58","75",
"PLM00012424","STRACHOWICE, PL","2018-10-14","0.00",,"58","78",
"PLM00012424","STRACHOWICE, PL","2018-10-15","0.00",,"59","74",
"PLM00012424","STRACHOWICE, PL","2018-10-16","0.00",,"58","74",
"PLM00012424","STRACHOWICE, PL","2018-10-17","0.00",,"55","72","42"
"PLM00012424","STRACHOWICE, PL","2018-10-18","0.00",,"52","68",
"PLM00012424","STRACHOWICE, PL","2018-10-19","0.00",,"52","56",
"PLM00012424","STRACHOWICE, PL","2018-10-20","0.01",,"50","55",
"PLM00012424","STRACHOWICE, PL","2018-10-21","0.00",,"45","54",
"PLM00012424","STRACHOWICE, PL","2018-10-22","0.00",,"43","58",
"PLM00012424","STRACHOWICE, PL","2018-10-23","0.02",,"46",,"38"
"PLM00012424","STRACHOWICE, PL","2018-10-24","0.40",,"45","52",
"PLM00012424","STRACHOWICE, PL","2018-10-25","0.03",,"49","56","36"
"PLM00012424","STRACHOWICE, PL","2018-10-26","0.04",,"49","54",
"PLM00012424","STRACHOWICE, PL","2018-10-27","0.00",,"46","52",
"PLM00012424","STRACHOWICE, PL","2018-10-28","0.00",,"40","44",
"PLM00012424","STRACHOWICE, PL","2018-10-29","0.74",,"43",,
"PLM00012424","STRACHOWICE, PL","2018-10-30","0.00",,"62","69","47"
"PLM00012424","STRACHOWICE, PL","2018-10-31","0.00",,"51","62","40"
"PLM00012424","STRACHOWICE, PL","2018-11-01","0.00",,"57","67",
"PLM00012424","STRACHOWICE, PL","2018-11-02","0.00",,"53","64",
"PLM00012424","STRACHOWICE, PL","2018-11-03","0.37",,"49","55",
"PLM00012424","STRACHOWICE, PL","2018-11-04","0.09",,"51","53",
"PLM00012424","STRACHOWICE, PL","2018-11-05","0.00",,"53","63",
"PLM00012424","STRACHOWICE, PL","2018-11-06","0.00",,"54","68",
"PLM00012424","STRACHOWICE, PL","2018-11-07","0.00",,"54","64","44"
"PLM00012424","STRACHOWICE, PL","2018-11-08","0.00",,"47","59","37"
"PLM00012424","STRACHOWICE, PL","2018-11-09","0.00",,"46","53","37"
"PLM00012424","STRACHOWICE, PL","2018-11-10","0.00",,"46","59","37"
"PLM00012424","STRACHOWICE, PL","2018-11-11","0.00",,"45","56",
"PLM00012424","STRACHOWICE, PL","2018-11-12","0.00",,"48","65",
"PLM00012424","STRACHOWICE, PL","2018-11-13","0.02",,"51","62","42"
"PLM00012424","STRACHOWICE, PL","2018-11-14","0.00",,"47","54",
"PLM00012424","STRACHOWICE, PL","2018-11-15","0.00",,"41","50",
"PLM00012424","STRACHOWICE, PL","2018-11-16","0.00",,"39","47","31"
"PLM00012424","STRACHOWICE, PL","2018-11-17","0.00",,"33","43",
"PLM00012424","STRACHOWICE, PL","2018-11-18","0.00",,"27","35","18"
"PLM00012424","STRACHOWICE, PL","2018-11-19","0.01",,"35","37","31"
"PLM00012424","STRACHOWICE, PL","2018-11-20","0.00",,"34","36",
"PLM00012424","STRACHOWICE, PL","2018-11-21","0.07","1.2","33","34",
"PLM00012424","STRACHOWICE, PL","2018-11-22","0.00",,"34","35","33"
"PLM00012424","STRACHOWICE, PL","2018-11-23","0.00",,"38",,
"PLM00012424","STRACHOWICE, PL","2018-11-24","0.00",,"40","45",
"PLM00012424","STRACHOWICE, PL","2018-11-25","0.00",,"40","49",
"PLM00012424","STRACHOWICE, PL","2018-11-26","0.00",,"37","42",
"PLM00012424","STRACHOWICE, PL","2018-11-27","0.00",,"31","35",
"PLM00012424","STRACHOWICE, PL","2018-11-28","0.00",,"31","39",
"PLM00012424","STRACHOWICE, PL","2018-11-29","0.00",,"25","33","21"
"PLM00012424","STRACHOWICE, PL","2018-11-30","0.00",,"29","36",
"PLM00012424","STRACHOWICE, PL","2018-12-01","0.01",,"28",,
"PLM00012424","STRACHOWICE, PL","2018-12-02","0.02",,"35","40",
"PLM00012424","STRACHOWICE, PL","2018-12-03","0.09",,"47","51","37"
"PLM00012424","STRACHOWICE, PL","2018-12-04","0.05",,"44","51",
"PLM00012424","STRACHOWICE, PL","2018-12-05","0.01",,"34","43",
"PLM00012424","STRACHOWICE, PL","2018-12-06","0.00",,"34",,"26"
"PLM00012424","STRACHOWICE, PL","2018-12-07","0.03",,"48",,"38"
"PLM00012424","STRACHOWICE, PL","2018-12-08","0.12",,"45","53",
"PLM00012424","STRACHOWICE, PL","2018-12-09","0.04",,"45","50","42"
"PLM00012424","STRACHOWICE, PL","2018-12-10","0.05",,"39","45",
"PLM00012424","STRACHOWICE, PL","2018-12-11","0.12",,"36","38",
"PLM00012424","STRACHOWICE, PL","2018-12-12","0.20",,"33","37",
"PLM00012424","STRACHOWICE, PL","2018-12-13","0.00","0.4","32","34","25"
"PLM00012424","STRACHOWICE, PL","2018-12-14","0.02",,"32","34",
"PLM00012424","STRACHOWICE, PL","2018-12-15","0.02","0.4","31","34",
"PLM00012424","STRACHOWICE, PL","2018-12-16","0.00","0.4","29","33",
"PLM00012424","STRACHOWICE, PL","2018-12-17","0.00",,"32","35","27"
"PLM00012424","STRACHOWICE, PL","2018-12-18","0.00",,"35","41",
"PLM00012424","STRACHOWICE, PL","2018-12-19","0.00",,"31","37",
"PLM00012424","STRACHOWICE, PL","2018-12-20","0.02",,"33",,"31"
"PLM00012424","STRACHOWICE, PL","2018-12-21","0.04",,"40",,"33"
"PLM00012424","STRACHOWICE, PL","2018-12-22","0.16",,"46","52","39"
"PLM00012424","STRACHOWICE, PL","2018-12-23","0.19",,"41","45",
"PLM00012424","STRACHOWICE, PL","2018-12-24","0.07",,"35","43",
"PLM00012424","STRACHOWICE, PL","2018-12-25","0.00",,"36",,"31"
"PLM00012424","STRACHOWICE, PL","2018-12-26","0.09",,"39",,
"PLM00012424","STRACHOWICE, PL","2018-12-27","0.00",,"43","47","39"
